Atom 1,Atom 2,Atom 3,Atom 4,Kchi,Multiplicity (n),Delta,Comments,Line Number
NH2,CT1,C,O,0.0,1.0,0.0,[],1613
NH2,CT2,C,O,0.0,1.0,0.0,['Neutral Gly Nterminus'],1614
NH2,CT1,C,NH1,0.0,1.0,0.0,[],1615
NH2,CT2,C,NH1,0.0,1.0,0.0,['Neutral Gly Nterminus'],1616
H,NH2,CT1,CT1,0.0,1.0,0.0,[],1617
H,NH2,CT1,C,0.0,1.0,0.0,[],1618
H,NH2,CT2,C,0.0,1.0,0.0,['Neutral Gly Nterminus'],1619
H,NH2,CT1,HB1,0.11,3.0,0.0,['From LSN HC-NH2-CT2-HA'],1620
H,NH2,CT2,HB2,0.11,3.0,0.0,"['From LSN HC-NH2-CT2-HA, Neutral Gly Nterminus']",1621
H,NH2,CT1,CT2,0.11,3.0,0.0,['From LSN HC-NH2-CT2-CT2'],1622
H,NH2,CT1,CT3,0.11,3.0,0.0,['From LSN HC-NH2-CT2-CT2'],1623
CAI,CA,CA,CAI,3.1,2.0,180.0,['from CA CA CA CA'],1626
CA,CPT,CPT,CA,3.0,2.0,180.0,"['atm, methylindole, 1/17/04']",1627
CAI,CPT,CPT,CAI,3.0,2.0,180.0,"['atm, methylindole, 1/17/04']",1628
CA,CY,CPT,CA,3.0,2.0,180.0,"['atm, methylindole, 1/17/04']",1629
CA,CY,CPT,CAI,3.0,2.0,180.0,"['atm, methylindole, 1/17/04']",1630
CA,NY,CPT,CA,3.0,2.0,180.0,"['atm, methylindole, 1/17/04']",1631
CPT,CA,CA,CA,3.0,2.0,180.0,['JWK 05/14/91 fit to indole'],1632
CPT,CPT,CA,CA,3.0,2.0,180.0,['JWK 05/14/91 fit to indole'],1633
CA,NY,CPT,CAI,3.0,2.0,180.0,"['atm, methylindole, 1/17/04']",1634
CPT,CAI,CA,CA,3.0,2.0,180.0,['JWK 05/14/91 fit to indole'],1635
CPT,CPT,CAI,CA,3.0,2.0,180.0,['JWK 05/14/91 fit to indole'],1636
CPT,CPT,CY,CA,5.0,2.0,180.0,"['atm, methylindole, 1/17/04']",1637
CPT,CPT,NY,CA,6.5,2.0,180.0,"['atm, methylindole, 1/17/04']",1638
CT3,CY,CPT,CA,2.5,2.0,180.0,"['atm, methylindole, r6r5']",1639
CT3,CY,CPT,CAI,2.5,2.0,180.0,"['atm, methylindole, r6r5']",1640
CT3,CY,CPT,CPT,3.0,2.0,180.0,"['atm, methylindole, meth']",1641
CT2,CY,CPT,CA,2.5,2.0,180.0,"['atm, methylindole, r6r5']",1642
CT2,CY,CPT,CAI,2.5,2.0,180.0,"['atm, methylindole, r6r5']",1643
CT2,CY,CPT,CPT,3.0,2.0,180.0,"['atm, methylindole, meth']",1644
CY,CA,NY,CPT,6.0,2.0,180.0,"['atm, methylindole, 1/17/04']",1645
CY,CPT,CA,CA,4.0,2.0,180.0,"['atm, methylindole, 1/17/04']",1646
CY,CPT,CPT,CA,4.0,2.0,180.0,"['atm, methylindole, 1/17/04']",1647
CY,CPT,CAI,CA,4.0,2.0,180.0,"['atm, methylindole, 1/17/04']",1648
CY,CPT,CPT,CAI,4.0,2.0,180.0,"['atm, methylindole, 1/17/04']",1649
H,NY,CA,CY,0.05,2.0,180.0,"['atm, methylindole, 1/17/04']",1650
H,NY,CPT,CA,0.2,2.0,180.0,"['atm, methylindole, 1/17/04']",1651
H,NY,CPT,CAI,0.2,2.0,180.0,"['atm, methylindole, 1/17/04']",1652
H,NY,CPT,CPT,0.85,2.0,180.0,"['atm, methylindole, 1/17/04']",1653
HP,CAI,CA,CA,4.2,2.0,180.0,['from HP CA CA CA'],1654
HP,CA,CA,CPT,3.0,2.0,180.0,['JWK 05/14/91 fit to indole'],1655
HP,CA,CPT,CPT,3.0,2.0,180.0,['JWK indole 05/14/91'],1656
HP,CA,CPT,CY,4.0,2.0,180.0,"['atm, methylindole, 1/17/04']",1657
HP,CA,CA,CAI,4.2,2.0,180.0,['from HP CA CA CA'],1658
HP,CA,CAI,CPT,3.0,2.0,180.0,['from HP CA CA CPT'],1659
HP,CAI,CA,HP,2.4,2.0,180.0,['from HP CA CA HP'],1660
HP,CAI,CPT,CPT,3.0,2.0,180.0,['from HP CA CPT CPT'],1661
HP,CAI,CPT,CY,4.0,2.0,180.0,"['from HP CA CPT CY, r6r5']",1662
HP,CA,CY,CPT,2.8,2.0,180.0,"['adm jr., 12/30/91, for jwk']",1663
HP,CA,CY,CT3,1.2,2.0,180.0,"['atm, methylindole']",1664
HP,CA,CY,CT2,1.2,2.0,180.0,"['atm, methylindole']",1665
HP,CA,NY,CPT,2.6,2.0,180.0,"['adm jr., 12/30/91, for jwk']",1666
HP,CA,NY,H,0.4,2.0,180.0,['JWK 05/14/91 fit to indole'],1667
HP,CY,CA,HP,1.0,2.0,180.0,['JWK 05/14/91 fit to indole'],1668
HP,CY,CPT,CA,2.8,2.0,180.0,['JWK 05/14/91 fit to indole'],1669
HP,CY,CPT,CAI,2.8,2.0,180.0,['JWK 05/14/91 fit to indole'],1670
HP,CY,CPT,CPT,2.6,2.0,180.0,['JWK 05/14/91 fit to indole'],1671
NY,CA,CY,CPT,5.0,2.0,180.0,"['atm, methylindole, 1/17/04']",1672
NY,CA,CY,CT3,2.5,2.0,180.0,"['atm, methylindole, from NY   CA   CY   CT3']",1673
NY,CA,CY,CT2,2.5,2.0,180.0,"['atm, methylindole, from NY   CA   CY   CT3']",1674
